Genus,LM,TD,TI,TP,LL,WD,WI,LI
Aepycamelus,95.13,39.9,54.34,45.32,105.67,69.38,74.5,80.24
Aepycamelus,95.25,38.22,54.65,45.25,105.2,69.73,75.04,80.36
Aepycamelus,100.35,39.63,54.86,44.27,109.1,69.83,72.23,83.84
Aepycamelus,98.09,39.9,53.26,42.44,105.57,73.83,76.32,82.74
Aepycamelus,94.1,40.75,51.95,42.16,101.15,67.47,68.25,80.41
Aepycamelus,90.31,34.36,47.68,40.34,100.38,67.74,70.37,78.14
Aepycamelus,88.43,33.71,47.79,40.48,93.67,58.58,56.46,74.59
Aepycamelus,96.39,38.85,51.82,40.92,106.47,68.88,69.89,83.12
Aepycamelus,93.09,40.36,49.54,40.12,100.23,68.15,67.76,80.78
Aepycamelus,89.62,43.49,48.04,38.65,97.83,63.67,62.02,75.68
Aepycamelus,91.03,37.69,51.88,42.32,102.04,69.59,72.04,77.79
Aepycamelus,88.12,34.46,47.75,38.82,96.57,68.71,71.63,74.01
Aepycamelus,89.76,37.72,49.63,43.93,98.95,68.7,71.49,75.9
Aepycamelus,81.8,30.62,41.8,37.17,89.45,58.56,58.42,70.45
Aepycamelus,98.12,39.57,49.73,40.62,102.43,68.76,71.78,82.04
Aepycamelus,95.54,38.2,49.84,42.46,105.43,65.99,71.35,80.19
Aepycamelus,86.95,35.03,49.47,37.95,96.43,60.78,61.1,77.05
Aepycamelus,86.72,38.55,48.74,39.05,94.37,65.4,65.11,72.95
Aepycamelus,92.32,39.62,49.46,41.85,100.33,64.75,67.84,79.06
Aepycamelus,94.56,41.7,52.88,42.49,96.74,72.37,73.82,80.34
Aepycamelus,92.27,39.51,51.4,43.26,99.12,71.09,74.31,79.82
Aepycamelus,91.25,36.43,44.72,39.34,95.98,67.23,69.69,76.9
Aepycamelus,93.97,40.88,53.45,44.03,99.11,66.2,71.77,78.49
Aepycamelus,88.95,38.37,44.4,40.06,93.52,63.29,66.64,75.07
Aepycamelus,90.64,39.52,49.74,41.69,100.22,69.56,72.11,78
