Species,Habitat Category,LL,LI,LM,WI,WD,TP,TI,TD
Aepceryos melampus suara,L,36.5,28.2,34,21,20.9,13.6,19,16.2
Aepyceros melampus johnstoni,L,40.9,31.2,38,23.4,22.5,15.2,20.6,18.1
Aepyceros melampus johnstoni,L,37,29.3,34.5,22.1,21.4,13.4,19.9,17.7
Aepyceros melampus johnstoni,L,36.2,27.3,33.1,21.3,20.9,13.2,18.1,15.1
Aepyceros melampus johnstoni,L,36.6,29.2,35.5,21.1,21.4,13.7,18.5,16.3
Aepyceros melampus melampus,L,37.7,29.8,35.7,22.4,21.3,13.7,18.4,16.3
Aepyceros melampus suara,L,37.3,28.5,35.1,21.5,22.3,12.9,19.7,17.1
Aepyceros melampus suara,L,39,29.4,35.8,22.9,23.6,13.9,20.4,17
Aepyceros melampus suara,L,37.7,29.3,35.3,22.3,22.5,14.5,19,16.7
Aepyceros melampus suara,L,35.3,27.2,33.4,20.6,21,13.5,18.4,14.8
Alcelaphus buselaphus caama,O,45.3,36.3,42.7,27.1,27.3,18.9,22.8,22
Alcelaphus buselaphus caama,O,47.7,39.3,45.5,34.3,31.2,21.4,25.9,24.2
Alcelaphus buselaphus cokii,O,48.4,38.2,45.4,30.3,30.7,21,25.2,23.3
Alcelaphus buselaphus cokii,O,47.2,37.7,45.5,29.3,30.8,20.1,25.2,24.4
Alcelaphus buselaphus cokii,O,44.5,35.4,41.7,29.4,29.4,18.2,23.6,22
Alcelaphus buselaphus jacksoni,O,51,39.3,47.6,33.8,31.6,21.1,25.9,24.9
Alcelaphus buselaphus lelwel,O,49.8,41.1,46.4,29.9,30.7,20.8,25.7,25.5
Alcelaphus buselaphus lelwel,O,48.9,39.6,46.4,32.7,32.1,21.5,26.5,26.1
Alcelaphus buselaphus lelwel,O,52.4,40.4,50.6,33,33.3,21.6,26.9,23.6
Alcelaphus buselaphus lelwel,O,48.3,38,45.6,32,31.8,20.6,25.8,25.4
Alcelaphus buselaphus lichtensteini,O,51.2,41.2,46.7,31.9,32.7,21.6,27.7,26.4
Alcelaphus buselaphus lichtensteini,O,52,39.5,47.7,33.8,33.9,21.9,29.1,29.8
Alcelaphus buselaphus lichtensteini,O,51.9,39.5,48.4,32.2,32.4,22.9,26.8,25
Connochaetes gnou,O,50.6,40.7,49.2,31.5,32.3,22.8,25.9,19.8
Connochaetes taurinus,O,44.6,36.5,43.1,29.2,29.9,18.6,22.2,17.7
Connochaetes taurinus albojubatus,O,53.2,43,50.6,35.1,33.6,22.1,27.7,24.5
Connochaetes taurinus albojubatus,O,56.2,45.8,53.7,36.3,36.2,24.8,30.1,23.4
Connochaetes taurinus albojubatus,O,51.8,41.6,47.9,36.2,33.6,22,27,21.7
Connochaetes taurinus albojubatus,O,52.9,41.8,48.6,34.8,33.9,21.4,27.2,24.2
Connochaetes taurinus albojubatus,O,50.7,40.4,48.8,32.3,32.4,19.9,25.4,21.7
Connochaetes taurinus taurinus,O,56.7,45,53.5,35,35.6,23.4,29,24.6
Damaliscus dorcas dorcas,O,38.4,30,37.1,23.8,23.4,16,19.8,17.7
Damaliscus dorcas dorcas,O,37.6,29.1,35.9,23.7,23.7,15.5,19.6,16.9
Damaliscus dorcas dorcas,O,37.3,28.4,34.5,24.4,23.5,14.3,19.1,17
Damaliscus dorcas phillipsi,O,36,27.6,34.4,22.1,22.6,15.6,19,15.9
Damaliscus dorcas phillipsi,O,37.9,29.9,35.7,24,23.9,15.8,20.3,17.5
Damaliscus dorcas phillipsi,O,36.7,29.5,35.3,22.4,23.5,15.6,18.9,16.1
Damaliscus hunteri,O,42.5,32.8,39.7,26.6,27.9,18.9,22.3,21.1
Damaliscus hunteri,O,41.2,32,38.5,27,27.3,17.6,22.3,21.5
Damaliscus lunatus,O,47.1,36.6,44.4,28.6,31.7,20.1,24.7,23.9
Damaliscus lunatus jimela,O,48.5,36.5,45.1,30,30.8,20.3,24.3,20.4
Damaliscus lunatus jimela,O,46.9,35.9,43.9,28.4,29.7,17.8,24.4,20.6
Damaliscus lunatus jimela,O,47,36.8,44.2,28.6,30.3,18.5,24.6,20.5
Damaliscus lunatus tiang,O,49.3,38.3,45.7,31.8,31.4,20.2,26.8,24.7
Antidorcas marsupialias hofmeyeri,O,33.8,26.6,31.8,22,21.3,12.7,18.1,16.3
Antidorcas marsupialias hofmeyeri,O,29.1,24,27.5,17.8,18.8,10.9,15.5,13.2
Antidorcas marsupialis,O,28.5,22.5,26.9,19.2,18.4,11.3,14.9,12.7
Antidorcas marsupialis,O,30.5,23.5,28.5,19.2,18.9,10.5,15.8,13
Antidorcas marsupialis,O,29.8,23.3,27.7,19,18.7,10.4,15.4,13.6
Antidorcas marsupialis,O,28.5,22.1,26.4,17,17.3,10.6,14.7,12.5
Antidorcas marsupialis,O,30.8,23.5,28.4,18.3,18.6,12.5,15.9,13.9
Antidorcas marsupialis hofmeyeri,O,31,23.8,28.1,18,18.3,10.4,15.5,13.4
Gazella granti,O,38.7,30,34.8,20.9,22.4,14.3,20,17.6
Gazella granti,O,36.3,29.3,33.8,20.7,22,13.2,19.1,16.8
Gazella granti,O,36.9,29,34.5,20.8,22.1,13.7,18.2,17.9
Gazella granti,O,37.4,29.6,34.7,20.6,21.5,13.4,19.1,17.2
Gazella granti,O,37.8,28.9,34.6,21.9,23.3,14.7,20.2,17
Gazella granti,O,33.8,26.5,31.2,20.7,20.6,11.9,18.1,15.7
Gazella granti,O,36.1,28.2,33,20.6,21.8,12.8,19.2,16.7
Gazella granti robertsi,O,38.1,29.1,35.2,21.3,22.7,13.8,19.8,17.4
Gazella granti robertsi,O,34.9,26.8,31.9,18.9,20.4,11.8,17.7,15.8
Gazella granti robertsi,O,37.4,29.1,34.3,21.5,22.7,13.7,19.4,18.3
Gazella thomsoni,O,25.7,19.5,23.1,14.7,14.5,9.3,11.8,10.8
Gazella thomsoni natalis,O,26.2,19.9,23.7,15.4,15,9.5,12.9,10.8
Gazella thomsoni thomsoni,O,26.3,20.3,24.5,15.7,16.2,9.1,12.9,11.6
Gazella thomsoni thomsoni,O,26.4,20.2,24.1,16.2,16.2,9.6,12.8,11.3
Gazella thomsoni thomsoni,O,26.3,19.9,23.8,16,16.3,9.7,13.7,11.7
Litocranius walleri,O,34.7,28,31.7,18.3,20.1,12.5,16,13.7
Litocranius walleri,O,35,26.7,32.4,21.8,21.8,12.8,17.6,15.9
Litocranius walleri,O,32.7,24.1,29.4,18.7,18.8,11.6,15.7,13.3
Litocranius walleri,O,33.2,26,30.3,18.6,19.1,11.3,15.8,14
Madoqua kirki,F,17,13.9,16.3,9.1,9.2,5.4,8.6,6.6
Madoqua kirki kirki,F,15.1,12.7,14.8,8.5,8.7,4.5,7.5,6.2
Neotragus batesi harrisoni,F,14.2,11.1,13.4,8.1,8,4.8,6.7,5.2
Neotragus batesi harrisoni,F,13.3,10.6,12.7,7.4,7.9,5,6.5,5.8
Ourebia ourebia cottoni,L,28.1,23.5,26.4,15.8,16,10.5,14.4,11.9
Ourebia ourebia cottoni,L,26.2,22.5,26.1,15.6,15.5,9.4,13.1,11.5
Ourebia ourebia cottoni,L,27.3,22.4,25.5,15.8,15.1,8.9,13.5,11.2
Ourebia ourebia cottoni,L,28.4,22.9,26.3,17.1,16.3,9.3,14.1,12
Ourebia ourebia cottoni,L,26.4,20.1,23.4,16.1,15.9,9.4,12.8,11.5
Ourebia ourebia goslingi,L,25.8,21.3,24.1,15.3,15.6,9,12.4,10.2
Ourebia ourebia goslingi,L,24.4,19.8,23,13.9,14,7.9,11.8,10.9
Ourebia ourebia goslingi,L,28,22.1,25.6,15.7,16,10.1,13.7,12.3
Ourebia ourebia goslingi,L,25.8,21.1,24.3,14.4,14,8.8,12.8,9.8
Ourebia ourebia rutilia,L,26.9,22,25.5,15.9,16.5,10.2,13.6,11
Raphiceros campestris kelleri,L,23.3,18.5,21.5,13.1,13.4,9.1,12.2,10.7
Raphicerus campestris capricornis,L,23.4,18.4,21.8,12.4,13.1,8.5,11.4,10.3
Raphicerus campestris newmanni,L,21.6,17,20.2,12.7,12.8,7.7,10.8,9.4
Raphicerus campestris steinhardti,L,23,17.9,21.5,12.6,13.3,8.2,11.1,9.2
Raphicerus campestris steinhardti,L,22.2,17.2,20.4,12,12.5,8,10.7,9.6
Cephalophus monticola,F,16.6,12.8,15.1,8.9,9.7,5.7,7.7,6.7
Cephalophus monticola,F,15.2,12.5,14.5,8.4,9.2,5.5,7.2,6.6
Cephalophus monticola musculoides,F,16.4,13.3,15.5,9.6,9.6,5.6,8.5,7
Cephalophus natalensis,F,26.3,22.6,25.5,14.3,15.6,9.4,13.1,11.4
Cephalophus natalensis,F,23.2,18.2,28.1,12.7,14,8.5,11.3,9.9
Cephalophus natalensis,F,25.5,27.7,24.1,14.5,14.5,9.8,11.9,10.1
Cephalophus niger,F,25.4,20.1,23.6,13.6,13.9,9.2,12.9,10.4
Cephalophus nigrifrons nigrifrons,F,24.3,19.9,23.2,14.6,14.5,8.5,12.2,10.4
Cephalophus nigrifrons nigrifrons,F,24.7,19.8,23,13.7,15.3,9.1,11.3,9.5
Cephalophus nigrifrons nigrifrons,F,24.7,20.1,23.2,13.4,15.1,9.2,12.3,10.6
Cephalophus sylvicultor,F,40.4,31.6,37,24.3,24.8,15.8,21,18
Cephalophus sylvicultor,F,41.3,32.5,38.7,24.3,25.8,16.2,20.6,17.2
Cephalophus sylvicultor,F,38.8,32.1,37.2,24.1,25.2,14.2,20,17.8
Cephalophus sylvicultor,F,39.7,31.1,36.8,25.3,25.5,14.8,19.9,15.2
Cephalophus sylvicultor,F,42.4,34.3,39.9,26.1,26.5,16.8,20.3,17.1
Cephalophus sylvicultor,F,39.2,30.6,36.2,23.9,23.9,14.9,19,15.6
Taurotragus oryx,O,78,63.7,73.7,47.1,48.6,29.1,41.7,36.4
